Nr,s1,s2,x1_start,x2_start,x1_opt,x2_opt,f_opt,f_calls,flag
27,0.5,0.5,0.867549,0.737707,0.774715,0.737707,1.28136,119,2
28,0.5,0.5,0.994075,0.729096,0.774715,0.77329,1.23974,143,2
29,0.5,0.5,-0.1888,-0.203619,7.88944e-07,1.62395e-07,2.06595e-11,227,2
30,0.5,0.5,-0.89916,0.850668,-0.774714,0.806474,1.27153,193,2
31,0.5,0.5,-0.200924,0.980611,-8.82896e-08,0.730611,0.678656,169,2
32,0.5,0.5,0.324615,0.246477,0.774717,0.768574,1.24085,149,2
33,0.5,0.5,-0.870711,-0.389222,-0.774716,0.0193999,0.631799,367,2
34,0.5,0.5,0.0436965,0.731905,9.69256e-08,0.776099,0.619897,127,2
35,0.5,0.5,-0.758308,0.20384,-0.774715,0.774488,1.23968,245,2
36,0.5,0.5,-0.02838,-0.640863,-2.65852e-07,-4.20786e-05,5.63828e-08,239,2
37,0.5,0.5,-0.656009,-0.847073,7.0997e-07,-0.774665,0.619837,217,2
38,0.5,0.5,0.999306,0.691919,0.774716,0.774788,1.23967,343,2
39,0.5,0.5,0.236886,0.851186,0.774715,0.806992,1.27258,139,2
40,0.5,0.5,0.257128,-0.944229,0.774716,-0.879758,1.58368,173,2
41,0.5,0.5,0.132792,0.761178,1.39962e-07,0.761178,0.625517,235,2
42,0.5,0.5,-0.322795,-0.131667,5.98067e-07,-0.131667,0.506048,231,2
43,0.5,0.5,-0.85969,0.380854,-0.774716,0.789711,1.24674,181,2
44,0.5,0.5,0.777871,0.0231684,0.774716,-0.000269064,0.619839,247,2
45,0.5,0.5,0.171942,0.6216,2.5429e-07,0.798377,0.637487,295,2
46,0.5,0.5,-0.04246,-0.971301,-5.16195e-07,-0.783801,0.622426,247,2
47,0.5,0.5,0.880354,0.433808,0.774715,0.768405,1.24091,223,2
48,0.5,0.5,0.53076,-0.307212,6.68117e-07,-0.160765,0.722549,231,2
49,0.5,0.5,0.236301,0.658388,0.774716,0.762795,1.24408,205,2
50,0.5,0.5,0.245031,-0.916777,0.774716,-0.774716,1.23967,365,2
