Nr,s,x1_start,x2_start,x1_opt,x2_opt,f_opt,f_calls,flag
60,1,-0.370263,1.46759,0.000830692,0.000788449,4.17677e-05,115,1
61,1,-0.889699,1.79645,0.000926231,0.774961,0.619866,85,1
62,1,1.92474,-1.65384,0.000908199,0.000454967,3.28556e-05,113,1
63,1,-1.90649,0.803822,-0.000241748,0.774525,0.61984,93,1
64,1,0.31264,-1.30626,-0.775251,0.773821,1.23971,106,1
65,1,-0.224354,0.405588,0.775646,-0.000662476,0.619878,70,1
66,1,1.97225,0.934451,-0.000404949,0.000857482,2.86346e-05,86,1
67,1,0.651787,-1.98922,-0.00055691,-0.000936062,3.77766e-05,108,1
68,1,-1.81087,-1.95211,-0.77376,-0.000934489,0.619894,98,1
69,1,-0.602289,1.65514,-0.000726956,0.000839606,3.92745e-05,100,1
70,1,-0.00664816,0.934815,-0.000788783,-0.000731403,3.68458e-05,86,1
71,1,0.399017,-0.899965,0.00057904,0.000425234,1.64343e-05,83,1
72,1,1.23796,0.916729,-0.773758,0.000713452,0.619882,108,1
73,1,0.796335,0.407047,0.774851,0.000797286,0.619858,100,1
74,1,0.715148,-1.14491,0.773742,-0.000383124,0.619871,100,1
75,1,-1.68482,1.74974,-0.774659,0.775135,1.23968,92,1
76,1,1.90705,1.63297,0.000802612,0.000155671,2.12841e-05,109,1
77,1,0.209453,-1.18176,-0.774922,0.775274,1.23969,84,1
78,1,1.4315,0.450141,-0.000139529,0.000922682,2.77287e-05,107,1
79,1,-1.71069,1.34144,-0.775144,-0.000361194,0.619847,107,1
80,1,1.55153,0.37502,0.000744642,1.95788e-05,1.76686e-05,93,1
81,1,0.263119,-1.79596,-0.77399,-0.774471,1.23969,91,1
82,1,0.658874,-0.689931,0.000670551,-0.773915,0.619872,107,1
83,1,1.66811,-0.180988,0.000143012,0.77409,0.61985,107,1
84,1,-1.41946,-0.225969,0.000464302,0.774031,0.619859,107,1
85,1,-1.18735,-1.95511,0.775537,-2.73641e-05,0.619858,97,1
86,1,-1.5798,-0.108685,0.000281112,0.000690101,1.7681e-05,90,1
87,1,-1.75802,-0.649771,-0.775598,0.000619807,0.619874,99,1
88,1,1.31221,0.174117,-0.775685,-0.775102,1.23971,109,1
89,1,-1.05284,1.52045,-0.000106349,0.000918591,2.72291e-05,100,1
90,1,1.9472,-1.51205,-6.77724e-05,-0.000335071,3.7213e-06,100,1
91,1,-1.69775,-1.91422,-0.773921,-0.000161979,0.619858,98,1
92,1,1.42139,-0.239695,-0.000481954,0.773977,0.619862,100,1
93,1,-0.961076,-0.759644,-0.000138594,-0.775269,0.619847,79,1
94,1,1.34126,1.34179,-0.000537184,-6.91895e-06,9.19021e-06,105,1
95,1,1.63022,1.54811,-0.000635899,-0.000718913,2.93334e-05,110,1
96,1,-1.1418,-1.06567,0.000773955,0.000740716,3.65445e-05,98,1
97,1,1.96587,-0.356723,-0.000926783,0.000698642,4.28926e-05,115,1
98,1,1.42469,0.235837,0.000863314,-0.773929,0.61988,107,1
99,1,-0.453461,-0.2126,-0.000335581,0.775681,0.61987,85,1
100,1,-1.76998,-1.09965,-0.773882,-4.54744e-05,0.619859,84,1
