t,alpha,omega
26.5,3.13728,0.00127658
26.6,3.1374,0.00127028
26.7,3.13753,0.00126255
26.8,3.13766,0.00125348
26.9,3.13778,0.00124314
27,3.1379,0.00123161
27.1,3.13803,0.00121897
27.2,3.13815,0.0012053
27.3,3.13827,0.00119066
27.4,3.13839,0.00117512
27.5,3.1385,0.00115876
27.6,3.13862,0.00114163
27.7,3.13873,0.0011238
27.8,3.13884,0.00110533
27.9,3.13895,0.00108628
28,3.13906,0.00106669
28.1,3.13917,0.00104663
28.2,3.13927,0.00102616
28.3,3.13937,0.0010053
28.4,3.13947,0.000984126
28.5,3.13957,0.00096267
28.6,3.13966,0.000940978
28.7,3.13976,0.000919092
28.8,3.13985,0.000897053
28.9,3.13994,0.000874898
29,3.14002,0.000852664
29.1,3.14011,0.000830386
29.2,3.14019,0.000808096
29.3,3.14027,0.000785826
29.4,3.14035,0.000763605
29.5,3.14042,0.000741461
29.6,3.14049,0.000719422
29.7,3.14056,0.000697511
29.8,3.14063,0.000675753
29.9,3.1407,0.000654171
30,3.14076,0.000632784
30.1,3.14083,0.000611612
30.2,3.14089,0.000590674
30.3,3.14094,0.000569986
30.4,3.141,0.000549564
30.5,3.14105,0.000529423
30.6,3.14111,0.000509577
30.7,3.14116,0.000490037
30.8,3.1412,0.000470815
30.9,3.14125,0.000451921
31,3.14129,0.000433365
31.1,3.14134,0.000415156
31.2,3.14138,0.000397299
31.3,3.14142,0.000379803
31.4,3.14145,0.000362673
31.5,3.14149,0.000345913
31.6,3.14152,0.000329529
31.7,3.14155,0.000313524
31.8,3.14159,0.0002979
31.9,3.14161,0.00028266
32,3.14164,0.000267804
32.1,3.14167,0.000253335
32.2,3.14169,0.000239252
32.3,3.14172,0.000225556
32.4,3.14174,0.000212244
32.5,3.14176,0.000199317
32.6,3.14178,0.000186772
32.7,3.1418,0.000174607
32.8,3.14181,0.00016282
32.9,3.14183,0.000151407
33,3.14184,0.000140366
33.1,3.14186,0.000129693
33.2,3.14187,0.000119383
33.3,3.14188,0.000109433
33.4,3.14189,9.98378e-05
33.5,3.1419,9.05926e-05
33.6,3.14191,8.16923e-05
33.7,3.14192,7.31318e-05
33.8,3.14192,6.49056e-05
33.9,3.14193,5.70079e-05
34,3.14193,4.94331e-05
34.1,3.14194,4.2175e-05
34.2,3.14194,3.52277e-05
34.3,3.14195,2.85849e-05
34.4,3.14195,2.22402e-05
34.5,3.14195,1.61873e-05
34.6,3.14195,1.04196e-05
34.7,3.14195,4.93071e-06
34.8,3.14195,-2.86104e-07
34.9,3.14195,-5.23745e-06
35,3.14195,-9.92999e-06
35.1,3.14195,-1.43704e-05
35.2,3.14195,-1.85654e-05
35.3,3.14195,-2.25217e-05
35.4,3.14194,-2.6246e-05
35.5,3.14194,-2.97448e-05
35.6,3.14194,-3.30249e-05
35.7,3.14194,-3.60929e-05
35.8,3.14193,-3.89553e-05
35.9,3.14193,-4.16185e-05
36,3.14192,-4.40892e-05
36.1,3.14192,-4.63735e-05
36.2,3.14191,-4.8478e-05
36.3,3.14191,-5.04087e-05
36.4,3.1419,-5.21719e-05
36.5,3.1419,-5.37737e-05
36.6,3.14189,-5.522e-05
36.7,3.14189,-5.65168e-05
36.8,3.14188,-5.76699e-05
36.9,3.14188,-5.86849e-05
37,3.14187,-5.95676e-05
37.1,3.14186,-6.03234e-05
37.2,3.14186,-6.09576e-05
37.3,3.14185,-6.14758e-05
37.4,3.14185,-6.18829e-05
37.5,3.14184,-6.21841e-05
